Title_lang,Subtitle_lang,InstructionText_lang,SubIcon_lang,TitleTooltip_lang,SubtitleTooltip_lang,EventToastID,PlayerConditionID,UiTextureAtlasMemberID,UiTextureKitID,EventType,DisplayType,EventAsset,Field_9_1_0_38312_011,IconFileID,UiWidgetSetID,ExtraUiWidgetSetID,TitleTooltipUiWidgetSetID,SubtitleTooltipUiWidgetSetID,ShowSoundKitID,HideSoundKitID,Field_10_2_5_52554_021
%d级,你升到了,,,,,1,117398,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,地下城已解锁！,,,,,2,117398,12015,0,2,3,0,0,0,0,0,0,0,0,0,0
,解锁了新技能！,,,,,3,117398,12014,0,1,3,0,0,0,0,0,0,0,0,0,0
,解锁了团队副本！,,,,,4,92737,12015,0,3,3,0,0,0,0,0,0,0,0,0,0
,下一步,,,,,5,0,0,5554,14,6,0,0,0,0,0,0,0,0,0,0
,,,,,,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
,升级,,,,,8,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0
,有新的技能！,,,,,9,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
你捕获了,,,,,,10,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0
%s%s,,,,,,11,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0
范围拾取,解锁了新要素！,现在拾取一具尸体时也会同时拾取附近的所有尸体。,解锁范围拾取,,,12,90425,12015,0,15,3,0,0,1022948,0,0,0,0,183581,0,0
斯科杜斯之厅,第%19812w层,,,,,14,79354,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
扭曲回廊,第%19812w层,,,,,15,79355,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
断骨密室,第%19812w层,,,,,16,79363,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
灵魂熔炉,第%19812w层,,,,,17,79365,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
凇心间隙,第%19812w层,,,,,18,79368,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
莫尔特雷加,第%19812w层,,,,,19,79366,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
地下城查找器,解锁了新要素！,,解锁了新要素：|cffFF4E00|Hlfd:|h[地下城查找器]|h|r,,,20,90424,12015,0,15,3,0,0,397907,0,0,0,0,0,0,0
战场,解锁了新要素！,,解锁了新要素：|cffFF4E00|Hpvpbgs:|h[战场]|h|r,,,21,90427,12015,0,15,3,0,0,132147,0,0,0,0,0,0,0
专精,解锁了新要素！,,解锁了新要素：|cffFF4E00|Hspecpane:|h[专精]|h|r,,,22,90428,12015,0,15,3,0,0,132222,0,0,0,0,0,0,0
天赋,解锁了新要素！,,解锁了新要素：|cffFF4E00|Htalentpane:|h[天赋]|h|r,,,23,90429,12015,0,15,3,0,0,132222,0,0,0,0,0,0,0
PvP天赋,解锁了新要素！,,解锁了新要素：可以使用|cffFF4E00|Htalentpanet:|h[PvP天赋]|h|r！,,,24,90430,12015,0,15,3,0,0,132147,0,0,0,0,0,0,0
坐骑装备,解锁了新要素！,,解锁了新要素：可以使用|cffFF4E00|Hmountequipment:|h[坐骑装备]|h|r！,,,25,5793,12015,0,15,3,0,0,1534178,0,0,0,0,0,0,0
