ID,Description_lang,OrderIndex,ProfTraitTreeID
1,制作原始熔火板甲。,0,105
2,制作板甲时，提高你的奇思和充裕属性。,1,105
3,制作大师之锤，可以免费修理你自己的板甲。,2,105
5,精通布卷和抛光布的制造。,1,161
6,精通合约和公函的制造。,2,176
7,喝下药水可以获得少量的移动速度爆发或者治疗效果爆发。,1,58
8,制造诱饵，吸引一些生物，剥皮时可以获得稀有材料。,0,145
9,精通动物符文和凡图斯符文的制造。,2,148
10,用附加材料和成品材料自定义你制造的武器和工具。,2,102
11,用附加材料和成品材料自定义你制造的皮甲。,2,126
12,用附加材料和成品材料自定义你制造的锁甲。,2,124
13,用附加材料自定义戒指和项链。,2,131
14,选矿时可以发现棱光矿石，里面有数个宝石。,0,128
15,制造物品时，提升你的充裕属性和制造效率。,2,207
16,能够发现魔法种子，可以种在土壤里，长出草药。,1,235
17,在户外时，获得对野兽和龙类的伤害加成。,0,144
18,制作布甲时，提高你的奇思和充裕属性。,1,164
19,制作附魔时，提高你的奇思和充裕属性。,2,240
20,制作皮甲时，提高你的奇思和充裕属性。,1,126
21,制作锁甲时，提高你的奇思和充裕属性。,1,124
22,制作任意珠宝加工图鉴时，提高你的奇思、充裕和制作速度属性。,0,130
23,制作任意珠宝加工图鉴时，提高奇思和充裕属性的效果。,1,130
24,制作任意珠宝加工图鉴时，提高你的制作技能。,0,130
25,能够发现附加材料结构图来自定义你的装备。,1,205
26,制作大师之锤，可以修理你自己的武器。,3,102
27,可以通过实验学习毒素药水和毒素瓶剂配方。,3,59
28,可以收集废料，以便在里面翻捡宝藏。,1,207
29,能够使用成品材料来自定义布甲。,2,164
30,从你剥皮的生物身上收集烹饪肉类。,2,144
31,制造物品时，驾驭腐朽魔法。,3,134
32,驾驭元素材料，强化你切割的宝石。,1,129
33,提高你的收集暗月卡片，提取其元素，以及制造新卡片的能力。,0,176
34,制作任意炼金配方时，提升你的制作技能。,0,59
35,制作任意锻造配方时，提升你的制作技能。,0,169
36,制作任意附魔公式时，提高你的制作技能。,0,245
37,制作任意工程学结构图时，提高你的制作技能。,0,207
38,制作任意铭文工艺图时，提高你的制作技能。,0,147
39,制作任意制皮图样时，提高你的制作技能。,0,135
40,制作任意裁缝图样时，提高你的制作技能。,0,160
41,制作任意裁缝图样时，提升你的制作速度。,3,160
42,采集草药时，提高你的采集技能。,0,236
43,采集革、鳞和皮时，提高你的技能。,0,143
44,采集矿石时，提高你的技能。,0,212
45,制作合金和附加材料时的品质获得提升。,1,103
46,精进转化的技艺，可以把一种东西变成另外一种。,2,59
47,提高大量制作基础材料的技艺。,2,128
48,使用更少的材料来大量制造炸弹。,1,204
49,制造PvP装备时，提高你的制作技能。,2,134
50,制作附魔公式时，提高你的制作技能。,0,240
51,提升制作可消耗的塑像的技艺，塑像可提供少量的战斗加成。,3,131
52,提高你瓶剂实验的成功率。,0,84
53,提高你药水实验的成功率。,0,58
54,制作任意锻造配方时，提高你的制作速度。,2,169
55,提高采集时发现的草药数量。,2,236
56,提高你采矿时发现的矿石数量。,2,212
57,你使用瓶剂的持续时间延长。,1,84
58,提高采集草药时精细属性的效果。,3,236
59,提高所有公式的奇思和充裕属性的效果。,3,245
60,提高所有图样的奇思和充裕属性的效果。,3,135
61,提高所有配方的奇思和充裕属性的效果。,1,160
62,提高所有配方的奇思和充裕属性的效果。,1,169
63,提高所有工艺图的奇思和充裕属性的效果。,3,147
64,采集元素矿脉时，提高你的熟练、精细和感知属性。,3,213
65,采集元素草药时，提高你的熟练、精细和感知属性。,3,234
66,采集草药时，提高你的熟练、精细和感知属性。,2,235
67,开采矿石时，提高你的熟练、精细和感知属性。,2,211
68,剥皮时，提高你的熟练、精细和感知属性。,2,143
69,剥皮时，提高你的熟练、精细和感知属性。,2,145
70,提升你的分解能力，有时候可以获得额外的材料。,1,244
71,提高你的感知属性，帮助你获得更稀有的材料。,3,144
72,将元素能量灌注进诱饵里，使你可以收集活力元素。,1,145
73,发明各种各样的玩具，为你和周围的人提供娱乐。,1,206
74,学习用元素精华切割无限钻石。,2,129
75,制作刺绣包时，提升你的充裕属性。,2,161
76,将优秀品质的宝石转化为精良品质的宝石簇。,1,128
77,制作和升级龙洞发生器，从而迅速进行传送。,0,206
78,制作所有人都能使用的带匠械插槽的史诗品质的护腕。,0,205
79,学习如何使用成品材料来改进你切割的宝石。,0,129
80,学习带特效的装备和附加材料的图样。,0,134
81,学习强力的“龙”、“之祈”和“觉醒”附魔公式。,1,240
82,学习各种拥有不同效果的炸弹的结构图。,0,204
83,学习新的匠械的结构图，匠械可以用在有匠械插槽的装备上。,2,206
84,制作一根原始觉醒火炬和一条符文卡兹格罗金棒。,1,245
85,雕刻耀光群岛之柱和动能群岛之柱，它们是强力的法杖。,1,148
86,更有效率地收集布，以及发现可以拆解的稀有布。,2,160
87,制作卡兹格罗金铁匠工具盒，以及制作更高品质的工具。,0,103
88,制作各种强力的崭新戒指和项链。,1,131
89,制作和自定义暗月套牌盒，它们是强力的暗月饰品。,1,176
90,制作有独特加成的护甲，比如苍蓝披肩。,1,162
91,制作鱼饵来捕捉特定种类的鱼。,1,144
92,制作焰触锁甲。,0,124
93,制作青纹和时序布护甲，它们都有独特的套装加成。,0,162
94,制作命缚皮甲。,0,126
95,制作采矿和锻造工具。,1,102
96,制作原始熔火武器。,0,102
97,制作抄写员的明灿羽毛笔。,0,148
98,制作多层勋章镶嵌底座，用来给项链添加插槽。,0,131
99,制作生机荒布护甲。,0,164
100,制作好玩的幻影物品，为大家的生活增添乐趣。,2,245
101,制作更安全的炸弹，可供所有玩家使用。,3,204
102,制作气阀灵魂吸入器，这是一种很重要的装置，可以收集关键材料。,3,207
103,发现玄秘物品，可以分解为材料和活力元素。,0,244
104,在拆解稀有布料时发现活力元素。,0,161
105,在骑乘坐骑的状态下采集草药。,0,235
106,从元素矿脉采集更多的活力元素。,1,213
107,从元素草药采集更多的活力元素。,1,234
108,在骑乘坐骑的状态下采集矿脉。,0,211
109,打碎觉醒元素，从而获得暂时的战斗和制作加成。,3,244
110,附魔材料碎裂为较低稀有度的同类材料。,2,244
111,撰写巨龙论述，可以使读者增加专业知识。,3,176
112,精通强化石的制作，比如原始磨刀石和原始平衡石。,2,103
113,精通有套装加成的装备的制作。,1,134
114,精通墨水的制作，这是铭文师的主要材料。,2,147
115,精通制作魔法强化的布甲。,2,162
116,精通专业配饰和鼓的制作。,2,135
117,精通基础材料、附加材料和成品材料的制作。,1,59
118,把材料研磨为颜料时，提高你的制作技能和效率。,1,147
119,制作护甲片和材料时，提高你的制作技能。,1,135
120,你每进行一次采矿，过载元素采矿点的冷却时间就会缩短。,0,213
121,你每采集一次，过载元素草药的冷却时间就会缩短。,0,234
