ID,Name_lang,Description_lang,ToastDescription_lang,CovenantID,Level,Icon,Flags,UiOrder,ItemID,SpellID,MountID,TransmogID,TransmogSetID,CharTitlesID,GarrFollowerID,TransmogIllusionID,QuestID,PlayerConditionID
18,,你可以与守护者暮花谈一谈从而招募这名冒险者。,有新的冒险者可用,3,4,0,0,0,0,0,0,0,0,0,1283,0,64508,0
19,灵魂羁绊升级：尼娅,你可以使用尼娅的第三行灵魂羁绊专长。,解锁新的一行尼娅灵魂羁绊,3,3,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
22,灵魂羁绊升级：尼娅,你可以使用尼娅的第四行灵魂羁绊专长。,解锁新的一行尼娅灵魂羁绊,3,7,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
23,,你可以与守护者暮花谈一谈从而招募这名冒险者。,有新的冒险者可用,3,12,0,0,0,0,0,0,0,0,0,1285,0,64508,0
25,灵魂羁绊升级：织梦者,你可以使用织梦者的第四行灵魂羁绊专长。,解锁新的一行织梦者灵魂羁绊,3,9,3684882,2,0,0,0,0,0,0,0,0,0,64508,0
28,灵魂羁绊升级：织梦者,你可以使用织梦者的第五行灵魂羁绊专长。,解锁新的一行织梦者灵魂羁绊,3,13,3684882,2,1,0,0,0,0,0,0,0,0,0,0
29,,可在名望军需官处购买找到的这段回忆。,可获取新找到的回忆,3,14,0,0,0,183249,0,0,0,0,0,0,0,64508,0
31,灵魂羁绊升级：尼娅,你可以使用尼娅的第五行灵魂羁绊专长。,解锁新的一行尼娅灵魂羁绊,3,10,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
32,,你可以与守护者暮花谈一谈从而招募这名冒险者。,有新的冒险者可用,3,17,0,0,1,0,0,0,0,0,0,1284,0,0,0
33,世界任务奖励,你的世界任务奖励的物品等级有了提升。,从世界任务获得的最高物品等级提升,3,10,236668,0,1,0,0,0,0,0,0,0,0,63220,88686
35,,,有新的外观可用,3,6,0,0,0,0,0,0,113562,0,0,0,0,64508,0
36,,幻象：荒野之魂会在名望军需官处出售。,可获取幻象：荒野之魂,3,36,0,0,0,0,0,0,0,0,0,0,71,64508,0
37,,法夜炉石玩具会在名望军需官处出售。,可获取法夜炉石,3,11,0,0,1,180290,0,0,0,0,0,0,0,0,0
39,法夜战役：德鲁“死”特,你可以开始法夜战役的下一章了。完成此章节后狩猎队长柯莱恩就会成为你的灵魂羁绊。,可接到新的战役任务,3,22,1500884,1,0,0,0,0,0,0,0,0,0,64508,0
40,,你将可以在名望军需官处领养特鲁迪。,可获取伙伴宠物,3,27,0,0,1,182663,0,0,0,0,0,0,0,0,0
41,灵魂羁绊升级：尼娅,你可以使用尼娅的第六行灵魂羁绊专长。,解锁新的一行尼娅灵魂羁绊,3,18,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
42,,你可以与守护者暮花谈一谈从而招募这名冒险者。,有新的冒险者可用,3,27,0,0,0,0,0,0,0,0,0,1286,0,64508,0
