ID,FailureReason_lang,PlayerConditionID,OrderIndex,Flags,CampaignID
15,斥候正在搜寻另一处合适的位置，以便在赞达拉建立新的据点。|n|n升到118级以继续。,62175,2,0,1
16,指挥官维姆班恩正在计划对赞达拉进行直接攻击。|n|n升到120级以继续。,62523,3,0,1
17,完成任务“狼王之咬”和“派遣舰队”即可前往纳沙塔尔。,72028,4,0,1
23,斥候正在搜寻另一处合适的位置，以便在库尔提拉斯建立新的据点。|n|n升到118级以继续。,62186,2,0,2
24,纳萨诺斯正准备对库尔提拉斯进行直接攻击。|n|n升到120级以继续。,62524,3,0,2
25,完成“失落的荣耀”任务线以继续阵营战役。,69018,4,0,2
30,完成任务“大酋长的命令”和“派遣舰队”即可前往纳沙塔尔。,72029,5,0,2
156,完成“掸去灰尘”以继续。,77905,0,0,114
161,,90281,0,0,126
167,,0,1,0,111
168,完成统御之链战役的章节“眼目聚焦”以继续此战役。,92548,2,0,113
170,需要名望等级5以继续战役。,88564,3,0,113
171,需要名望等级8以继续战役。,88568,4,0,113
172,需要名望等级11以继续战役。,86974,5,0,113
174,需要名望等级13以继续战役。,86977,6,0,113
175,需要名望等级17以继续战役。,86981,7,0,113
176,需要名望等级22以继续战役。,86990,9,0,113
177,达到$pcMinLevel级以继续。,87254,3,0,114
178,达到$pcMinLevel级以继续。,87384,1,0,124
186,需要完成任务“使命：晋升堡垒”才能继续此战役。,88058,0,0,119
187,需要完成任务“使命：玛卓克萨斯”才能继续此战役。,88059,0,0,115
188,需要完成任务“使命：炽蓝仙野”才能继续此战役。,88060,0,0,117
189,需要完成任务“使命：雷文德斯”才能继续此战役。,88061,0,0,113
190,完成统御之链战役的章节“眼目聚焦”以继续此战役。,92548,2,0,119
191,需要名望等级5以继续战役。,88561,3,0,119
192,需要名望等级8以继续战役。,88565,4,0,119
193,需要名望等级11以继续战役。,86212,5,0,119
194,需要名望等级13以继续战役。,86213,6,0,119
195,需要名望等级17以继续战役。,86214,7,0,119
196,需要名望等级20以继续战役。,86215,8,0,119
197,完成统御之链战役的章节“眼目聚焦”以继续此战役。,92548,2,0,117
198,需要名望等级5以继续战役。,88563,3,0,117
199,需要名望等级8以继续战役。,88567,4,0,117
200,需要名望等级11以继续战役。,86972,5,0,117
201,需要名望等级13以继续战役。,86975,6,0,117
202,需要名望等级17以继续战役。,86979,7,0,117
203,需要名望等级20以继续战役。,86982,8,0,117
204,完成统御之链战役的章节“眼目聚焦”以继续此战役。,92548,2,0,115
205,需要名望等级5以继续战役。,88562,3,0,115
206,需要名望等级8以继续战役。,88566,4,0,115
207,需要名望等级11以继续战役。,86973,5,0,115
208,需要名望等级13以继续战役。,86976,6,0,115
209,需要名望等级17以继续战役。,86980,7,0,115
210,需要名望等级20以继续战役。,86983,8,0,115
211,接受任务“被遗忘的囚笼”后，可以继续进行战役，任务位于噬渊。,88895,1,0,117
212,接受任务“被遗忘的囚笼”后，可以继续进行战役，任务位于噬渊。,88895,1,0,113
213,接受任务“被遗忘的囚笼”后，可以继续进行战役，任务位于噬渊。,88895,1,0,115
214,接受任务“被遗忘的囚笼”后，可以继续进行战役，任务位于噬渊。,88895,1,0,119
215,,0,0,0,111
216,,88933,0,0,124
217,,89130,1,0,114
218,,89131,2,0,114
221,需要名望等级20以继续战役。,86984,8,0,113
240,在灰烬荒野营救劳伦特以继续战役。,88026,10,0,113
246,完成你的盟约战役以继续此战役。,92551,0,0,138
247,需要名望等级44以继续战役。,92797,1,0,138
248,需要名望等级47以继续战役。,91334,2,0,138
249,需要名望等级50以继续战役。,91335,3,0,138
250,接受并完成任务“晨曦堡的囚徒”以继续战役。,96305,4,0,138
251,需要名望等级52以继续战役。,91336,5,0,138
252,需要名望等级56以继续战役。,91337,6,0,138
253,需要名望等级22以继续战役。,86216,9,0,119
254,需要名望等级22以继续战役。,86989,9,0,115
255,需要名望等级22以继续战役。,86988,9,0,117
256,请稍后再返回，了解伯瓦尔的计划。,95984,0,0,158
257,请稍后再返回，了解伯瓦尔的计划。,95985,1,0,158
258,请稍后再返回，了解伯瓦尔的计划。,95986,2,0,158
259,请稍后再返回，了解伯瓦尔的计划。,95987,3,0,158
261,需要名望等级58以继续战役。,91338,7,0,138
266,,102816,0,0,189
269,,103531,0,0,174
271,,103529,1,0,174
272,,103530,2,0,174
273,,103799,0,0,165
277,,103948,0,0,199
279,在伊斯卡拉海象人处达到名望等级11以继续故事。,34450,0,0,194
280,在龙鳞探险队处达到名望等级13以继续故事。,34450,0,0,197
281,在龙鳞探险队处达到名望等级24以继续故事。,34450,1,0,197
282,在瓦德拉肯联军处达到名望等级19以继续故事。,99211,0,0,190
285,贝塔测试中，内容在当前不可用。,34450,2,0,197
286,贝塔测试中，内容在当前不可用。,34450,1,0,194
289,,78570,0,0,118
307,从列兵科尔处接受任务“坚守阵地”后，可以继续进行战役。,108912,0,1,212
318,斥候正在搜寻另一处合适的位置，以便在赞达拉建立新的据点。|n|n升到114级以继续。,62173,0,0,1
319,斥候正在搜寻艾泽里特来提供战争资源。|n|n升到116级以继续。,62174,1,0,1
320,,108981,1,0,215
322,,109025,2,0,215
323,斥候正在搜寻另一处合适的位置，以便在库尔提拉斯建立新的据点。|n|n升到114级以继续。,62184,0,0,2
324,斥候正在搜寻艾泽里特来提供战争资源。|n|n升到48级以继续。,62185,1,0,2
345,,109197,1,0,216
346,,109200,2,0,216
350,,109223,3,0,216
351,,109640,4,0,216
352,,109651,0,0,217
353,,109679,5,0,216
354,,109791,0,1,218
355,,109813,0,1,222
356,,109651,0,0,223
357,,109197,1,0,225
358,,109200,2,0,225
359,,109223,3,0,225
360,,110188,4,0,225
361,,109679,5,0,225
362,,109866,1,0,226
363,,109868,2,0,226
364,,110020,0,0,216
365,,110020,0,0,225
374,,119768,0,0,247
375,,119784,1,0,247
376,,119786,2,0,247
378,,119802,3,0,247
379,,119938,1,0,246
380,,119768,0,0,248
381,,119784,1,0,248
382,,119786,2,0,248
383,,119802,3,0,248
384,,119916,1,0,249
385,,119918,2,0,249
386,,119921,3,0,249
387,,119922,4,0,249
388,,119923,5,0,249
389,,119924,6,0,249
390,,119925,7,0,249
391,,119927,8,0,249
392,,119928,9,0,249
393,,119929,10,0,249
394,,119930,11,0,249
395,,119805,2,0,246
396,,119939,3,0,246
397,,119940,4,0,246
398,,119942,5,0,246
399,,119941,6,0,246
400,,119937,7,0,246
401,,119936,8,0,246
402,,119935,9,0,246
403,,119934,10,0,246
404,,119932,11,0,246
405,,119951,0,0,250
406,,119951,0,0,251
408,,119968,0,0,252
409,,119969,0,0,253
410,,119969,0,0,254
412,升到80级以继续战役。,127956,0,0,240
414,,119967,0,0,246
415,,119967,0,0,249
419,,123559,0,0,256
420,,123560,1,0,256
421,,123561,2,0,256
425,,124973,0,1,215
426,,124976,0,1,226
427,等待奥蕾莉亚·风行者的消息。,34450,1,0,240
428,等待奥蕾莉亚·风行者的消息。,34450,2,0,240
430,完成“地心之战”战役以开启。,34450,0,0,265
431,完成“萦绕暗影”战役以开启。,34450,1,0,265
433,在“地心之战”名望派系中达到名望等级4以继续战役。,127075,3,0,240
434,与达拉然的卡德加交谈，前往卡兹阿加。,127637,1,0,235
435,等待奥蕾莉亚·风行者的消息。,127958,4,0,240
436,等待奥蕾莉亚·风行者的消息。,127960,5,0,240
437,等待奥蕾莉亚·风行者的消息。,127961,6,0,240
441,等待卡德加的消息。,34450,2,0,265
445,,132762,0,0,235
446,,132761,0,0,201
449,等待雷吉克说服加兹鲁维。,135473,0,0,264
451,继续你的职业大厅战役以开始阿苏纳战役。,136286,0,1,275
452,继续你的职业大厅战役以开始瓦尔莎拉战役。,136286,0,1,277
453,继续你的职业大厅战役以开始风暴峡湾战役。,136286,0,1,280
454,继续你的职业大厅战役以开始至高岭战役。,136286,0,1,278
455,继续或放弃至高岭战役才能开始阿苏纳战役。,136338,1,1,275
456,继续或放弃风暴峡湾战役才能开始阿苏纳战役。,136340,2,1,275
457,继续或放弃瓦尔莎拉战役才能开始阿苏纳战役。,136337,3,1,275
