ID,Description_lang,ModifiedCraftingCategoryID,ItemBonusTreeID,Flags,Field_9_1_0_38511_004,ItemContextOffset
1,,50,0,0,0,0
2,必定有急速属性,1,2915,1,0,0
4,,3,2922,0,0,0
5,必定有爆击属性,6,2927,1,0,0
6,必定有全能属性,7,2928,1,0,0
7,必定有精通属性,5,2929,1,0,0
8,将物品等级设置为117，角色等级要求设置为55。,29,3203,0,0,0
9,将物品等级设置为168，角色等级要求设置为60。,46,3210,0,0,0
10,将物品等级设置为180，角色等级要求设置为60。,8,3210,0,0,0
11,将物品等级设置为200。,8,3211,0,0,0
17,合剂持续时间增加,44,2939,0,0,0
27,进食充分效果持续时间更久,11,3000,0,0,0
30,对敌人造成火焰伤害,17,3070,0,0,0
32,将等级要求设置为15，并将物品等级设置为相应的数值。,18,3204,0,0,0
34,将等级要求设置为25，并将物品等级设置为相应的数值。,30,3205,0,0,0
36,将等级要求设置为35，并将物品等级设置为相应的数值。,31,3206,0,0,0
38,将等级要求设置为45，并将物品等级设置为相应的数值。,32,3207,0,0,0
39,将等级要求设置为55，并将物品等级设置为相应的数值。,33,3208,0,0,0
58,降低跌落伤害,41,3147,0,0,0
59,略微提高移动速度,42,3148,0,0,0
61,提高游泳速度,40,3152,0,0,0
62,对敌人造成冰霜伤害,17,3153,0,0,0
64,在竞技场或战场被消灭后保留进食充分效果,38,3175,0,0,0
65,制作物品时有几率获得额外技能点,39,3176,0,0,0
66,添加插槽,35,3177,0,0,0
67,@spelldesc332950,11,169,0,0,0
68,完成世界任务会提高主属性,37,3178,0,0,0
70,将物品等级设置为129，角色等级要求设置为53。,29,3203,0,0,0
71,将物品等级设置为200，角色等级要求设置为60。,51,3211,0,0,0
72,将物品等级设置为165，角色等级要求设置为57。,29,3209,0,0,0
73,将物品等级设置为165。,29,3210,0,0,0
74,将物品等级设置为54，角色等级要求设置为47。,45,3208,0,0,0
75,将物品等级设置为56，角色等级要求设置为45。,32,3207,0,0,0
76,将物品等级设置为43，角色等级要求设置为35。,31,3206,0,0,0
77,将物品等级设置为33，角色等级要求设置为25。,30,3205,0,0,0
78,将物品等级设置为23，角色等级要求设置为15。,18,3204,0,0,0
79,将物品等级设置为87，角色等级要求设置为50。,45,3265,0,0,0
80,提高物品等级，数值和2个技能等级相当。,50,0,0,0,2
81,将物品等级设置为230，角色等级要求设置为60，添加效果：装备唯一：“暗影国度”制品。,52,3323,0,0,0
82,将物品等级设置为233，角色等级要求设置为60。,53,3444,0,0,0
83,将物品等级设置为262，角色等级要求设置为60，添加效果：装备唯一：“暗影国度”制品。,54,3445,0,0,0
84,提高物品等级，数值和3个技能等级相当。,55,0,0,0,3
85,你的技能有几率在目标附近生成一个自动体核心，造成伤害和治疗。,56,3448,0,0,0
86,提高闪避，而且受到伤害时有一定几率使你回复生命值。,56,3449,0,0,0
87,当你消灭一个提供经验值或荣誉的敌人时，你有几率获得额外的资源。,56,3450,0,0,0
88,你的技能有几率在附近生成一个微尘。收集此微尘可以提高主属性，持续15秒。,56,3451,0,0,0
89,提高加速以及在暗影界时的地面坐骑速度。,56,3452,0,0,0
90,受到伤害时产生能量火花。叠加至5层时，下一个攻击者会被震击，受到宇宙伤害。,56,3453,0,0,0
91,消灭敌人会使你最高的副属性暂时提高，持续20秒，最多叠加5次。,56,3454,0,0,0
92,合剂、药剂和食物增益效果的持续时间提高50%。,56,3455,0,0,0
93,将物品等级设置为400，角色等级要求设置为70。,84,3510,0,0,0
94,,59,0,0,0,0
95,,60,0,0,0,0
96,,61,0,0,0,0
97,,62,0,0,0,0
98,,63,0,0,0,0
99,,64,0,0,0,0
100,,65,0,0,0,0
101,Set base ilevel to 51 (DNT),66,3137,0,0,0
102,Set base ilevel to 60 (DNT),67,3146,0,0,0
103,No Effect on this test finishing reagent (DNT),68,0,0,0,0
104,No Effect on this test finishing reagent (DNT),69,0,0,0,0
105,用厚实的尖刺装饰你的护甲。并添加装备唯一：美化（2）。,87,3600,0,0,0
106,,71,0,0,0,0
107,将等级1配方的物品等级设置为249。,83,0,0,0,4
109,,72,0,0,0,0
110,,74,0,0,0,0
111,,75,0,0,0,0
112,,73,0,0,0,0
113,,78,0,0,0,0
114,,77,0,0,0,0
115,,76,0,0,0,0
116,,79,0,0,0,0
117,,80,0,0,0,0
118,,81,0,0,0,0
119,,89,0,0,0,0
120,,90,0,0,0,0
121,,91,0,0,0,0
122,,92,0,0,0,0
123,,93,0,0,0,0
124,,94,0,0,0,0
125,,95,0,0,0,0
126,,96,0,0,0,0
127,,97,0,0,0,0
128,,98,0,0,0,0
129,,99,0,0,0,0
130,,100,0,0,0,0
131,,101,0,0,0,0
132,,102,0,0,0,0
133,,103,0,0,0,0
134,,104,0,0,0,0
136,,106,0,0,0,0
137,,492,0,0,0,0
138,,108,0,0,0,0
139,,109,0,0,0,0
140,,110,0,0,0,0
141,,111,0,0,0,0
142,,112,0,0,0,0
144,,114,0,0,0,0
145,,115,0,0,0,0
146,,116,0,0,0,0
148,,118,0,0,0,0
149,,119,0,0,0,0
150,,120,0,0,0,0
151,,121,0,0,0,0
152,,122,0,0,0,0
153,,123,0,0,0,0
154,,124,0,0,0,0
155,奇思突破返还的专注提高$ev1%。,125,0,1,0,0
156,$en1提高$ev1而且$en2提高$ev2%。,126,0,1,0,0
157,你改进专业技能的可能性提高$ev1%，但配方难度提高$ev2点。,127,0,0,0,0
158,$en1提高$ev1而且$en2提高$ev2。,128,0,0,0,0
159,$en1提高$ev1而且$en2提高$ev2。,129,0,0,0,0
160,使巨龙群岛的药水的持续时间延长50%。并添加装备唯一：美化（2）。,130,3599,0,0,0
161,巨龙群岛餐点的进食充分效果延长100%，现在死后也可以继续存在。,131,3598,0,0,0
163,Increases armor by x and reduces durability loss of this armor piece. (DNT),85,0,0,0,0
164,使$en1提高$ev1。,133,0,0,0,0
165,使$en1提高$ev1。,134,0,0,0,0
166,必定有爆击和急速属性。,135,3725,1,0,0
168,,57,0,0,0,0
169,,57,0,0,0,0
170,,57,0,0,0,0
171,,156,0,0,0,0
172,,157,0,0,0,0
173,,158,0,0,0,0
174,,159,0,0,0,0
175,,160,0,0,0,0
176,,161,0,0,0,0
177,,162,0,0,0,0
178,,139,0,0,0,0
179,,137,0,0,0,0
180,,138,0,0,0,0
181,,140,0,0,0,0
182,,141,0,0,0,0
183,,144,0,0,0,0
184,,142,0,0,0,0
185,,143,0,0,0,0
186,,145,0,0,0,0
187,,146,0,0,0,0
188,,147,0,0,0,0
189,,154,0,0,0,0
191,,0,0,0,0,0
192,,149,0,0,0,0
193,,151,0,0,0,0
194,,155,0,0,0,0
195,,163,0,0,0,0
196,你改进铭文的可能性提高$ev1%，但配方难度提高$ev2点。,152,0,0,0,0
197,奇思突破返还的专注提高$ev1%，$en2提高$ev2。,153,0,0,0,0
198,,170,0,0,0,0
199,,171,0,0,0,0
200,,172,0,0,0,0
201,,173,0,0,0,0
203,,175,0,0,0,0
204,,176,0,0,0,0
205,你改进珠宝加工的可能性提高$ev1%，但配方难度提高$ev2点。,364,0,1,0,0
206,奇思突破返还的专注提高$ev1%，$en2提高$ev2。,365,0,0,0,0
207,你改进裁缝的可能性提高$ev1%，但配方难度提高$ev2点。,366,0,0,0,0
208,奇思突破返还的专注提高$ev1%，$en2提高$ev2%。,367,0,0,0,0
209,由充裕属性节省的材料提高$ev1%。,368,0,0,0,0
210,,369,0,0,0,0
211,,370,0,0,0,0
212,,371,0,0,0,0
213,生命值高于90%时，获得精通。并添加装备唯一：美化（2）。,372,3843,0,0,0
214,,373,0,0,0,0
215,你的法术有时会造成时光涟漪。并添加装备唯一：美化（2）。,374,3850,0,0,0
216,,375,0,0,0,0
217,,376,0,0,0,0
218,,377,0,0,0,0
219,,378,0,0,0,0
220,,379,0,0,0,0
221,,380,0,0,0,0
222,必定有全能和急速属性。,390,3742,1,0,0
223,必定有精通和急速属性。,389,3743,1,0,0
224,必定有全能和精通属性。,388,3744,1,0,0
