ID,Text_lang,SortIndex,Min_level,Max_level,ContentTuningID
201,|cffffd100小提示：|r當你施展法術時可以藉由移動、跳躍或是按下<ESC>鍵取消。,2,0,0,6416
222,|cffffd100小提示：|r你可以按下<Ctrl>鍵並點擊一件物品來看看你穿上那件物品後的樣子。,4,0,0,6416
223,|cffffd100小提示：|r名字是灰色的物品一般來說表示粗糙的品質，也通常可以把它賣給商人。,5,0,0,6419
224,|cffffd100小提示：|r名字為白色的物品一般來說對玩家是有某種用處的，你可以將它拿到拍賣場去販售。,6,0,0,6419
225,|cffffd100小提示：|r你可以使用遊戲中任何一個郵箱來郵寄物品給其他同一伺服器的玩家，或者是你自己的其他角色。,7,0,0,6416
226,|cffffd100小提示：|r你可以按下<Shift>鍵並點擊某物品來放置一個物品連結於對話訊息中。,8,0,0,6417
227,|cffffd100小提示：|r按下<ESC>，選擇選項，再選擇按鍵綁定，可以重新指定快捷列上各自對應的熱鍵。,11,0,0,6415
229,|cffffd100小提示：|r如果你的目標在小地圖呈現灰色，表示它和你不在同個地方，位於洞穴或建築物內部。,12,0,0,6415
230,|cffffd100小提示：|r你可以使用情感指令系統來表達許多有趣的動作，舉例來說你可以輸入/dance來跳舞！,17,0,0,6416
231,|cffffd100小提示：|r按下<ESC>可以存取介面選單項，並自訂你的遊戲選項。,20,0,0,6416
234,|cffffd100小提示：|r小地圖旁出現郵件圖示表示你有新的郵件！去找一個郵箱來收取郵件。,21,0,0,6416
235,|cffffd100小提示：|r你可以在介面選項中按<ESC>鍵為你的遊戲介面增加額外的快捷列。,22,0,0,6424
236,|cffffd100小提示：|r如果你在搜括屍體的時候按住Shift鍵並以右鍵點擊拾取目標時，你就會自動撿取該屍體中所有的物品。,23,0,0,6417
237,|cffffd100小提示：|r如果你覺得跟某人一起遊戲很有樂趣，把他們加到你的好友名單中吧！,27,0,0,6416
240,|cffffd100小提示：|r如果你不想收到任何來自某位玩家的訊息，用滑鼠右鍵點擊其名字，然後選擇「忽略」。你可以隨時變更忽略的設定。,159,0,0,6414
241,|cffffd100小提示：|r 你可以用功能鍵來選定自己的隊友作為目標。F1鍵可選定自己，F2鍵可選定第二個隊友，以此類推。,31,0,0,6418
242,|cffffd100小提示：|r在一個隊伍中對其他人保持禮貌可以讓你持續受到邀請！,30,0,0,6423
243,|cffffd100小提示：|r你可以點擊聲望介面中的陣營以獲取更多關於該陣營的資訊與選項。,32,0,0,6417
244,|cffffd100小提示：|r頭像下方帶有星星標誌的怪物是較為稀少的怪物，牠們身上通常會有比平常還好的物品。,33,0,0,6415
245,|cffffd100小提示：|r在觀看大地圖時使用滑鼠滾輪可放大顯示該處。,36,0,0,6423
251,|cffffd100小提示：|r執行任務和探索地城是練功升級的最佳方式。,45,0,0,6420
254,|cffffd100小提示：|r按下<Alt>+Z鍵可以打開或關閉遊戲介面以便你使用<Print Screen>鍵擷取遊戲畫面。,44,0,0,6417
256,|cffffd100小提示：|r在大地圖點擊滑鼠右鍵可切換至大陸或世界地圖，點擊左鍵可放大為區域地圖。,40,0,0,6419
258,|cffffd100小提示：|r按住<Shift>鍵並在對話欄中點擊一個玩家的姓名，就可以獲得該玩家的額外資訊。,3,0,0,6424
261,|cffffd100小提示：|r當任務給予者的頭上有著藍色問號時表示這個任務是可重複進行的。,48,0,0,6418
263,|cffffd100小提示：|r使用<Tab>鍵可循環選擇在你前方最接近的敵人。,13,0,0,6415
281,|cffffd100小提示：|r按住<Shift>鍵並點擊商人販售的物品可以讓你選擇購買商品的數量。,50,0,0,6415
282,|cffffd100小提示：|r當你學會一項專業技能時，可以在專業技能介面（預設快捷鍵「K」）中找到使用該技能的按鈕。,10,0,0,6416
321,|cffffd100小提示：|r如果你在各主城中找不到某個人時，試著點擊守衛詢問一下方向。,14,0,0,6417
341,|cffffd100小提示：|r凡事不要太超過、太入迷。即使玩魔獸世界也一樣！,143,0,0,6423
381,|cffffd100小提示：|r你可以按住<Shift>鍵點擊堆疊的物品來將它們分成更小的堆疊。,54,0,0,6415
382,|cffffd100小提示：|r同時按住滑鼠的兩個鍵也可以讓你的角色往前移動。,55,0,0,6423
384,|cffffd100小提示：|r用右鍵點擊增益效果法術在畫面上方的圖示，可解除它們絕大多數的效果。,9,0,0,6417
388,|cffffd100小提示：|r點擊別人貼在對話視窗的物品連結可以讓你更了解該物品。,57,0,0,6423
389,|cffffd100小提示：|r你一次只能學習兩種專業技能，但你可以學習所有的次要技能（烹飪、釣魚和考古學）。,19,0,0,6414
390,|cffffd100小提示：|r在邀請某人加入一個隊伍或開啟交易視窗前，先和他交談是有禮貌的行為。,58,0,0,6423
392,|cffffd100小提示：|r當你被敵方玩家擊敗時，你的物品不會受到耐久度的損害。,60,0,0,6418
393,|cffffd100小提示：|r按住<Shift>鍵點擊任務紀錄中的任務可以切換其任務追蹤的功能。,61,0,0,6424
394,|cffffd100小提示：|r在附近等待你回報的任務給予者會在你的小地圖上顯示黃色問號的圖示。,63,0,0,6424
396,|cffffd100小提示：|r在附近等你回報的任務NPC會在你的小地圖上顯示問號的圖示。,1,0,0,6419
398,|cffffd100小提示：|r你可以在任務追蹤選單中點擊任務編號的圖示，選擇你要追蹤哪個任務。,41,0,0,6414
399,|cffffd100小提示：|r在最高等級時完成任務將以額外的金幣代替經驗值做為獎勵。,64,0,0,6421
403,|cffffd100小提示：|r按下B鍵可以一次打開所有的背包。,65,0,0,6416
404,|cffffd100小提示：|r與其他玩家互動時厚道一點友誼才能細水長流！,156,0,0,6423
405,|cffffd100小提示：|r沿著路走你就不易與閒晃的怪物正面交鋒。,42,0,0,6423
406,|cffffd100小提示：|r 使用地城搜尋器，可快速進入5人地城展開冒險。,28,0,0,6416
407,|cffffd100小提示：|r帶你的朋友到艾澤拉斯，不過也別忘了和他們到艾澤拉斯外面看看。,66,0,0,6423
409,|cffffd100小提示：|r如果你讓郵箱保持在空的狀態，郵件圖示將讓你知道何時有新郵件進來！,67,0,0,6424
410,|cffffd100小提示：|r永遠不要透露你的帳號資料給其他玩家。,68,0,0,6423
411,|cffffd100小提示：|r與他人共同使用一個帳號會危害其安全性。,35,0,0,6423
419,|cffffd100小提示：|r 生命力長條為灰色的怪物已經是別人的獵物，殺死牠無法獲得任何的經驗值或戰利品。,70,0,0,6414
422,|cffffd100小提示：|r你可以點擊小地圖上方的區域名稱或者按「M」鍵以打開地圖介面。,72,0,0,6419
423,|cffffd100小提示：|r 高等級的地城可切換成傳奇難度，無法使用地城搜尋器進入，但勇敢挑戰的冒險者會得到崇高的獎賞！,73,0,0,6421
426,|cffffd100小提示：|r使用地城搜尋器時，你可以直接傳送進入你所選的地城。如果沒有，你可以利用地城集合石來召喚不在場的隊伍成員。,77,0,0,6417
