ID,Title_lang,Description_lang,WorldPosition[0],WorldPosition[1],Type,PlayerConditionID,QuestID,LfgDungeonID,RewardItemID,UiTextureAtlasMemberID,UiTextureKitID,MapID,AreaTableID
1,兄弟，聯盟限定！,,0,0,0,6617,0,0,124562,0,232,-1,0
3,艾蘇納,艾蘇納原本是座充滿田園氣息的島嶼天堂，但燃燒軍團從天而降，所到之處遍地亡骸。艾薩拉女王的納迦大軍從深淵現身，驚擾了原先在島嶼上安息的靈魂。埋藏在精靈廢墟底下的巨大力量似乎將所有生物都吸引過來。,625,6355,1,39938,39718,0,0,0,0,1220,0
4,維爾薩拉,維爾薩拉這座古老的森林，是半神塞納留斯的誕生地以及德魯伊之道的源頭。瑪法里恩‧怒風回到了這片神聖的林地，希望向他偉大的導師尋求建言，並且拿回伊露恩之淚。,3265,6241,1,39935,39731,0,0,0,0,1220,0
6,斯鐸海姆,吉恩‧葛雷邁恩國王準備出動天火號，開往地勢險峭的斯鐸海姆尋找阿格拉瑪之盾。然而，這片土地是一個古老維酷人氏族的首都，該氏族的首領不惜任何代價也想要得到這面神盾。,3117,1954,1,39937,39735,0,0,0,0,1220,0
7,斯鐸海姆,大酋長希瓦娜斯準備出動她的戰艦，開往地勢險峭的斯鐸海姆尋找阿格拉瑪之盾。然而，這片土地是一個古老維酷人氏族的首都，該氏族的首領不惜任何代價也想要得到這面神盾。,3117,1954,1,39939,39864,0,0,0,0,1220,0
8,高嶺,從破碎群島的北方望過去，遠處的地平線清楚映照出高嶺那參差不齊的山巒，這是破碎群島最後的一個宏偉邊疆。高貴的牛頭人部族在這險峻的高山中建立家園，粗野的卓格巴也在此處的地底下建立了王國。高嶺那原本就不穩定的和平狀態，現在更因為燃燒軍團的入侵而受到了嚴峻的考驗。,4926,4256,1,39936,39733,0,0,0,0,1220,0
9,Test quest offer,Test quest offer desc.,-9344.97,-2279.12,1,5703,47512,0,0,0,0,-1,0
12,"worldport 1116, 6971.02, 1004.63, 398.974, 299.925",Test for insets,6279,-26.6,0,5703,36810,0,0,0,0,1116,0
14,聖光會堂,,-3200,9255,3,37830,0,0,0,5608,0,0,2268
15,惡魔狩獵：翼魔伊克齊,你的勇士找到了一隻非消滅不可的強大惡魔。,625,6455,2,37103,39885,0,0,0,0,1220,0
16,過往的回聲,你的勇士找到了一個失落的泰坦通訊器。,2900,5400,2,37136,39886,0,0,0,0,1220,0
17,"worldport 533, 2719.85, -3098.21, 267.686, 285.619",Test for insets 2,2719,-3098,0,5703,36810,0,0,0,0,533,0
18,"worldport 0, 2368.83, -5353.17, 52.6645, 315.291",Test for insets 3,2368,-5353,0,5703,36810,0,0,0,0,0,0
20,英靈殿,,-3200,10000,3,37831,0,0,0,5613,0,1479,7813
21,Test Offer,Test,2900,5400,3,5703,0,0,128966,0,0,-1,0
22,亞榭洛：黯黑堡,,-3200,10000,3,37835,0,0,0,5601,0,1220,7743
23,魔錘號,,-3200,10000,3,37841,0,0,0,5602,0,1481,8023
24,神獵廳,,-3200,9255,3,37832,0,0,0,5605,0,1220,7877
25,幻夢之林,,-3200,10000,3,37840,0,0,0,5603,0,1220,7846
26,守護者殿堂,,-3200,9255,3,37837,0,0,0,5606,0,1513,7879
27,漂流島,,-3200,10000,3,37839,0,0,0,5607,0,1514,7902
28,虛空之光神殿,,-3200,10000,3,37834,0,0,0,5609,0,1512,7834
29,暗影大廳,,-3200,9255,3,37833,0,0,0,5610,0,1220,8011
30,大漩渦,,-3200,9255,3,37836,0,0,0,5611,0,1469,7745
31,懼痕裂隙,,-3200,9255,3,37838,0,0,0,5612,0,1522,7875
32,蘇拉瑪爾,與世隔絕一萬年之後，夜裔精靈解除了蘇拉瑪爾的魔法屏障，古爾丹也因此得以控制夜井，獲得威力強大的力量泉源。一小群正在流亡的夜裔想推翻大博學者艾莉珊德，卻不幸失敗，於是他們打算喚醒古老的大地，好讓蘇拉瑪爾脫離燃燒軍團的控制。,1778.3,4348.73,1,44817,44555,0,0,0,0,1220,0
40,祖達薩,贏得神王拉斯塔哈和贊庫爾議會的信任。,-1489.27,1024.34,1,54073,47514,0,0,0,0,1642,0
41,納茲米爾,和塔蘭姬公主一起前往納茲米爾的黑暗沼澤，除掉鮮血食人妖這個大威脅。,1920.37,939.103,1,54075,47512,0,0,0,0,1642,0
42,沃魯敦,賈克拉傑將軍的秘密就藏在沙子裡。前往沙丘找出足以讓他無法繼續掌權的證據。,2545.47,3837.28,1,54076,47513,0,0,0,0,1642,0
43,提拉加德海灣,查明波拉勒斯的陰謀事由，贏得凱瑟琳‧普勞德摩爾的信任。,584.562,-77.9022,1,61846,47960,0,0,0,0,1643,0
44,佐司瓦,威奎斯特領主和夫人是普勞德摩爾家族的有力盟友。調查他們突然銷聲匿跡的原因，還有佐司特當地令人不安的傳言。,-454.389,2574.49,1,61848,47961,0,0,0,0,1643,0
