Field_11_0_0_54935_000_lang,ID,Field_11_0_0_54935_002,GossipXUIDisplayInfoID
|cnWHITE_FONT_COLOR:遺失的珍寶|r|n從入侵的狗頭人手中奪回被偷走的珍寶！,3,122390,51
|cnWHITE_FONT_COLOR:侵入的狗頭人|r|n狗頭人已經佔領了克里格瓦之眠，必須把他們趕出去！,4,122392,51
|cnWHITE_FONT_COLOR:達格蘭出任務|r|n達格蘭‧索瑞森二世想找人來幫他進行實戰訓練。,5,122393,51
|cnWHITE_FONT_COLOR:NYI|r|n,6,122394,51
|cnWHITE_FONT_COLOR:黑暗儀式|r|n黑夜教團正在進行一個腐化這個區域的可恨儀式！,7,122376,59
|cnWHITE_FONT_COLOR:凱隆襲擊|r|n偉大的凱隆正在襲擊夜暮聖所，他需要你的幫助！,8,122377,59
|cnWHITE_FONT_COLOR:信號雜音|r|n完成遇害燈火者的任務，並從黑夜教團手中拯救人質。,9,122378,59
|cnWHITE_FONT_COLOR:NYI|r|n,10,122379,59
|cnWHITE_FONT_COLOR:折磨受害者|r|n進化的奈幽蟲族正在深淵堡裡折磨囚犯。,11,122380,60
|cnWHITE_FONT_COLOR:織絲者救援|r|n織絲者的三位特務被囚禁在深淵堡裡。,12,122382,60
|cnWHITE_FONT_COLOR:進化研究|r|n一名進化的奈幽研究者正在進行一些扭曲的實驗。,13,122384,60
|cnWHITE_FONT_COLOR:逃跑進化者|r|n深淵堡裡的實驗出了差錯，若實驗體逃了出來就會造成極大威脅。,14,122385,60
|cnWHITE_FONT_COLOR:失落的礦工|r|n拯救一群遭蘑菇人囚禁的土靈礦工。,15,122386,50
|cnWHITE_FONT_COLOR:散播腐朽|r|n一名祈倫托法師正試著擊退蘑菇人的腐朽勢力。,16,122387,50
|cnWHITE_FONT_COLOR:探險家競賽|r|n探險者協會的成員將在洞穴深處來一場友誼競爭。,17,122388,50
|cnWHITE_FONT_COLOR:NYI|r|n,18,122389,50
