ID,FailureReason_lang,PlayerConditionID,OrderIndex,Flags,CampaignID
15,斥候正在尋找另一個適合作為贊達拉據點的場所。|n|n達到118級以繼續。,62175,2,0,1
16,指揮官龍禍正在擬定直接進攻贊達拉的計畫。|n|n達到120級以繼續。,62523,3,0,1
17,完成任務「狼的攻勢」和「派出艦隊」以前往納沙塔爾。,72028,4,0,1
23,斥候正在尋找另一個適合作為庫爾提拉斯據點的場所。|n|n達到118級以繼續。,62186,2,0,2
24,納薩諾斯正在擬定直接進攻庫爾提拉斯的計畫。|n|n達到120級以繼續。,62524,3,0,2
25,完成「失落的榮耀」系列任務以繼續進行陣營戰役。,69018,4,0,2
30,完成任務「大酋長的命令」和「派出艦隊」以前往納沙塔爾。,72029,5,0,2
156,完成任務「抱歉借魄一下」以繼續。,77905,0,0,114
161,,90281,0,0,126
167,,0,1,0,111
168,完成統御之鏈戰役的「專注眼睛」章節，可繼續進行戰役。,92548,2,0,113
170,達到名望等級5即可繼續進行戰役。,88564,3,0,113
171,達到名望等級8即可繼續進行戰役。,88568,4,0,113
172,達到名望等級11即可繼續進行戰役。,86974,5,0,113
174,達到名望等級13即可繼續進行戰役。,86977,6,0,113
175,達到名望等級17即可繼續進行戰役。,86981,7,0,113
176,達到名望等級22即可繼續進行戰役。,86990,9,0,113
177,達到等級$pcMinLevel後可繼續。,87254,3,0,114
178,達到等級$pcMinLevel後可繼續。,87384,1,0,124
186,完成「昇靈堡的呼喚」任務以繼續進行戰役。,88058,0,0,119
187,完成「瑪卓薩斯的呼喚」任務以繼續進行戰役。,88059,0,0,115
188,完成「亞登曠野的呼喚」任務以繼續進行戰役。,88060,0,0,117
189,完成「瑞文崔斯的呼喚」任務以繼續進行戰役。,88061,0,0,113
190,完成《統御之鏈》戰役的「專注眼睛」章節以繼續進行該戰役。,92548,2,0,119
191,達到名望等級5即可繼續進行戰役。,88561,3,0,119
192,達到名望等級8即可繼續進行戰役。,88565,4,0,119
193,達到名望等級11即可繼續進行戰役。,86212,5,0,119
194,達到名望等級13即可繼續進行戰役。,86213,6,0,119
195,達到名望等級17即可繼續進行戰役。,86214,7,0,119
196,達到名望等級20即可繼續進行戰役。,86215,8,0,119
197,完成《統御之鏈》戰役的「專注眼睛」章節以繼續進行該戰役。,92548,2,0,117
198,達到名望等級5即可繼續進行戰役。,88563,3,0,117
199,達到名望等級8即可繼續進行戰役。,88567,4,0,117
200,達到名望等級11即可繼續進行戰役。,86972,5,0,117
201,達到名望等級13即可繼續進行戰役。,86975,6,0,117
202,達到名望等級17即可繼續進行戰役。,86979,7,0,117
203,達到名望等級20即可繼續進行戰役。,86982,8,0,117
204,完成《統御之鏈》戰役的「專注眼睛」章節以繼續進行該戰役。,92548,2,0,115
205,達到名望等級5即可繼續進行戰役。,88562,3,0,115
206,達到名望等級8即可繼續進行戰役。,88566,4,0,115
207,達到名望等級11即可繼續進行戰役。,86973,5,0,115
208,達到名望等級13即可繼續進行戰役。,86976,6,0,115
209,達到名望等級17即可繼續進行戰役。,86980,7,0,115
210,達到名望等級20即可繼續進行戰役。,86983,8,0,115
211,在淵喉接受任務「遺忘牢獄」，就能繼續進行戰役。,88895,1,0,117
212,在淵喉接受任務「遺忘牢獄」，就能繼續進行戰役。,88895,1,0,113
213,在淵喉接受任務「遺忘牢獄」，就能繼續進行戰役。,88895,1,0,115
214,在淵喉接受任務「遺忘牢獄」，就能繼續進行戰役。,88895,1,0,119
215,,0,0,0,111
216,,88933,0,0,124
217,,89130,1,0,114
218,,89131,2,0,114
221,達到名望等級20即可繼續進行戰役。,86984,8,0,113
240,在餘燼區救出勞倫特即可繼續進行戰役。,88026,10,0,113
246,完成你的誓盟戰役以繼續進行此戰役。,92551,0,0,138
247,達到名望等級44即可繼續進行戰役。,92797,1,0,138
248,達到名望等級47即可繼續進行戰役。,91334,2,0,138
249,達到名望等級50即可繼續進行戰役。,91335,3,0,138
250,在瑞文崔斯接受並完成任務「曙光要塞囚犯」，就能繼續進行戰役。,96305,4,0,138
251,達到名望等級52即可繼續進行戰役。,91336,5,0,138
252,達到名望等級56即可繼續進行戰役。,91337,6,0,138
253,達到名望等級22即可繼續進行戰役。,86216,9,0,119
254,達到名望等級22即可繼續進行戰役。,86989,9,0,115
255,達到名望等級22即可繼續進行戰役。,86988,9,0,117
256,過一陣子再回來聽聽伯瓦爾制訂的計劃。,95984,0,0,158
257,過一陣子再回來聽聽伯瓦爾制訂的計劃。,95985,1,0,158
258,過一陣子再回來聽聽伯瓦爾制訂的計劃。,95986,2,0,158
259,過一陣子再回來聽聽伯瓦爾制訂的計劃。,95987,3,0,158
261,達到名望等級58即可繼續進行戰役。,91338,7,0,138
266,,102816,0,0,189
269,,103531,0,0,174
271,,103529,1,0,174
272,,103530,2,0,174
273,,103799,0,0,165
277,,103948,0,0,199
279,達到伊斯凱拉巨牙海民的名望等級11以繼續該故事線。,34450,0,0,194
280,達到龍鱗遠征隊的名望等級13以繼續該故事線。,34450,0,0,197
281,達到龍鱗遠征隊的名望等級24以繼續該故事線。,34450,1,0,197
282,達到沃卓肯協調者的名望等級19以繼續該故事線。,99211,0,0,190
285,Beta測試未開放相關內容。,34450,2,0,197
286,Beta測試未開放相關內容。,34450,1,0,194
289,,78570,0,0,118
307,向士兵柯爾接下「堅守陣地」任務以繼續進行戰役。,108912,0,1,212
318,斥候正在尋找另一個適合作為贊達拉據點的場所。|n|n達到114級以繼續。,62173,0,0,1
319,斥候正在尋找戰爭需要用到的艾澤萊晶岩。|n|n達到116級以繼續。,62174,1,0,1
320,,108981,1,0,215
322,,109025,2,0,215
323,斥候正在尋找另一個適合作為庫爾提拉斯據點的場所。|n|n達到114級以繼續。,62184,0,0,2
324,斥候正在尋找戰爭需要用到的艾澤萊晶岩。|n|n達到48級以繼續。,62185,1,0,2
345,,109197,1,0,216
346,,109200,2,0,216
350,,109223,3,0,216
351,,109640,4,0,216
352,,109651,0,0,217
353,,109679,5,0,216
354,,109791,0,1,218
355,,109813,0,1,222
356,,109651,0,0,223
357,,109197,1,0,225
358,,109200,2,0,225
359,,109223,3,0,225
360,,110188,4,0,225
361,,109679,5,0,225
362,,109866,1,0,226
363,,109868,2,0,226
364,,110020,0,0,216
365,,110020,0,0,225
374,,119768,0,0,247
375,,119784,1,0,247
376,,119786,2,0,247
378,,119802,3,0,247
379,,119938,1,0,246
380,,119768,0,0,248
381,,119784,1,0,248
382,,119786,2,0,248
383,,119802,3,0,248
384,,119916,1,0,249
385,,119918,2,0,249
386,,119921,3,0,249
387,,119922,4,0,249
388,,119923,5,0,249
389,,119924,6,0,249
390,,119925,7,0,249
391,,119927,8,0,249
392,,119928,9,0,249
393,,119929,10,0,249
394,,119930,11,0,249
395,,119805,2,0,246
396,,119939,3,0,246
397,,119940,4,0,246
398,,119942,5,0,246
399,,119941,6,0,246
400,,119937,7,0,246
401,,119936,8,0,246
402,,119935,9,0,246
403,,119934,10,0,246
404,,119932,11,0,246
405,,119951,0,0,250
406,,119951,0,0,251
408,,119968,0,0,252
409,,119969,0,0,253
410,,119969,0,0,254
412,達到80級以繼續進行戰役。,127956,0,0,240
414,,119967,0,0,246
415,,119967,0,0,249
419,,123559,0,0,256
420,,123560,1,0,256
421,,123561,2,0,256
425,,124973,0,1,215
426,,124976,0,1,226
427,等待艾蘭里亞‧風行者的口信。,34450,1,0,240
428,等待艾蘭里亞‧風行者的口信。,34450,2,0,240
430,完成「地心之戰」的劇情戰役以開始。,34450,0,0,265
431,完成「不散暗影」的劇情戰役以開始。,34450,1,0,265
433,在《地心之戰》相關陣營的名望等級達到4，以繼續進行戰役。,127075,3,0,240
434,與達拉然的卡德加交談，啟程前往卡茲阿爾加。,127637,1,0,235
435,等待艾蘭里亞‧風行者的口信。,127958,4,0,240
436,等待艾蘭里亞‧風行者的口信。,127960,5,0,240
