ID,ZoneName_lang,AlteredFormCustomizeOffset[0],AlteredFormCustomizeOffset[1],AlteredFormCustomizeOffset[2],ChrModel_9_0_1_35522_001Override[0],ChrModel_9_0_1_35522_001Override[1],ChrModel_9_0_1_35522_001Override[2],ChrModel_9_0_1_35522_001Override_Female[0],ChrModel_9_0_1_35522_001Override_Female[1],ChrModel_9_0_1_35522_001Override_Female[2],ChrClassesID,ZoneImageAtlas,MaleCharacterCreationVisual,MaleCharacterCreationIdleVisual,FemaleCharacterCreationVisual,FemaleCharacterCreationIdleVisual,CharacterCreationIdleGroundVisual,CharacterCreationGroundVisual,AlteredFormCharacterCreationIdleVisual,AlteredFormCustomizeRotation,CharacterCreationAnimLoopWaitTimeMs,ChrRacesID
0,北郡山谷,0,0,0,0,0,0,0,0,0,8,12427,0,0,0,0,0,0,0,0,0,1
1,北郡山谷,0,0,0,0,0,0,0,0,0,9,12427,0,0,0,0,0,0,0,0,0,1
2,幽影谷,0,0,0,0,0,0,0,0,0,3,12433,0,0,0,0,133508,0,0,0,0,4
3,紅雲台地,0,0,0,0,0,0,0,0,0,3,12436,0,0,0,0,133570,0,0,0,0,6
4,紅雲台地,0,0,0,0,0,0,0,0,0,7,12436,0,0,0,0,0,132530,0,0,0,6
5,安曼谷,0,0,0,0,0,0,0,0,0,1,12417,0,0,0,0,0,0,0,0,0,11
6,安曼谷,0,0,0,0,0,0,0,0,0,3,12417,131761,132614,0,0,133584,0,0,0,0,11
7,逐日者之島,0,0,0,0,0,0,0,0,0,5,12422,0,0,0,0,0,134410,0,0,0,10
8,逐日者之島,0,0,0,0,0,0,0,0,0,4,12422,0,133196,0,0,0,0,0,0,0,10
9,逐日者之島,0,0,0,0,0,0,0,0,0,8,12422,0,0,134112,0,0,0,0,0,0,10
10,逐日者之島,0,0,0,0,0,0,0,0,0,9,12422,0,0,0,0,0,0,0,0,0,10
11,安曼谷,0,0,0,0,0,0,0,0,0,2,12417,0,0,0,0,0,0,0,0,0,11
12,逐日者之島,0,0,0,0,0,0,0,0,0,2,12422,135104,135107,128833,132580,0,0,0,0,0,10
13,安曼谷,0,0,0,0,0,0,0,0,0,5,12417,0,0,0,0,0,0,0,0,0,11
14,安曼谷,0,0,0,0,0,0,0,0,0,7,12417,0,0,0,0,0,132521,0,0,0,11
15,回音群島,0,0,0,0,0,0,0,0,0,7,12437,0,0,0,0,0,132520,0,0,0,8
16,喪鐘鎮,0,0,0,0,0,0,0,0,0,4,12438,0,133196,0,0,0,0,0,0,0,5
17,幽影谷,0,0,0,0,0,0,0,0,0,1,12433,0,0,0,0,0,0,0,0,0,4
