Name_lang,Description_lang,ID,StoreFrontID,AccountStoreCategoryID,OrderIndex,Price,CurrencyTypesID,Field_11_0_7_57361_008,RefundDuration,Field_11_0_7_57361_010,Field_11_0_7_57361_011,SpellID,TransmogSetID,CreatureDisplayInfoID,UiModelSceneID,Icon
樂樂,|cFF00ccff地心之戰寵物|r|n|cFF1eff00強襲風暴寵物|r|n|n解鎖樂樂寵物。在強襲風暴中，達卡許‧嚴帳可以幫你召喚你的寵物。|n|n「牠覺得來這裡很興奮。」,1,1,1,10,250,3139,0,14400,0,0,439475,0,118654,0,0
泡泡,|cFF00ccff地心之戰寵物|r|n|cFF1eff00強襲風暴寵物|r|n|n解鎖泡泡寵物。在強襲風暴中，達卡許‧嚴帳可以幫你召喚你的寵物。|n|n「牠會跟著你回家！」|n|n|cFFFFFFFF獎勵寵物：皮恩奇|r|n|n|CFFa335ee經典版寵物|r|n|n解鎖在《浩劫與重生：經典版》中使用的『掠奪者』皮恩奇寵物。|n|n「小心牠尖尖的螯！」,2,1,1,20,500,3139,0,0,0,0,439477,0,118078,0,0
格蘭洛克,|cFF00ccff地心之戰寵物|r|n|cFF1eff00強襲風暴寵物|r|n|n解鎖格蘭洛克寵物。在強襲風暴中，達卡許‧嚴帳可以幫你召喚你的寵物。|n|n「一個跟你一樣喜好掠奪的夥伴。」,3,1,1,30,1000,3139,0,14400,0,0,439478,0,118606,0,0
爍喀,"|cFF00ccff地心之戰寵物|r
|cFF1eff00強襲風暴寵物|r

解鎖爍喀寵物。在強襲風暴中，達卡許‧嚴帳可以幫你召喚你的寵物。

「搶奪閃閃發亮的東西是一種生活方式。」",4,1,1,40,2000,3139,0,14400,4,0,0,0,124130,0,0
銀色潮汐戰馬,|cFF00ccff地心之戰坐騎|r|n|n解鎖銀色潮汐戰馬水下坐騎。|n|n「聞起來像蝦子。」,5,1,2,10,1500,3139,0,14400,0,0,437516,0,92255,965,0
皇家海羽鸚鵡,|cFF00ccff地心之戰坐騎|r|n|n解鎖皇家海羽鸚鵡飛行坐騎。|n|n「看看你奪來的財寶，沒有一隻巨大鸚鵡跟你做伴可就說不過去了。」,6,1,2,20,5000,3139,0,14400,0,0,437517,0,117981,80,0
波利‧羅傑,|cFF00ccff地心之戰坐騎|r|n|n解鎖波利‧羅傑飛龍騎術坐騎。|n|n「船長把他喜怒無常的巨型鸚鵡給了你。祝你好運！」|n|n|cFFFFFFFF獎勵坐騎：波利‧羅傑|r|n|n|CFFa335ee經典版坐騎|r|n|n解鎖在《浩劫與重生：經典版》中使用的波利‧羅傑飛行坐騎。,7,1,2,30,5000,3139,0,0,0,0,437164,0,117262,80,0
強襲之王的午夜鱷魚,"|cFF00ccff地心之戰坐騎|r

解鎖強襲之王的午夜鱷魚坐騎。

「以高品質黑色皮革製成的奢華座駕。」",8,1,2,40,5000,3139,0,14400,4,0,0,0,121170,80,0
帕利,"|cFF00ccff地心之戰寵物|r
|cFF1eff00強襲風暴寵物|r

解鎖帕利寵物。在強襲風暴中，達卡許‧嚴帳可以幫你召喚你的寵物。

「諷刺的是，並不熱衷於談判。」",9,1,1,50,2000,3139,0,14400,4,0,0,0,124174,0,0
致命匕首,|cFF00ccff地心之戰外觀|r|n|cFF1eff00強襲風暴外觀|r|n|n解鎖致命匕首外觀。若想在強襲風暴中更換外觀，請去見達卡許‧嚴帳。|n|n「水兵，你現在是桶腿的船員了！拿著這把匕首去掠奪吧！」,10,1,4,10,250,3139,0,14400,1,0,439389,3468,0,0,0
