ID,Title_lang,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Field_9_0_1_35755_007,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,Field_10_0_2_45779_012,Field_10_0_2_46144_013
1,陣營戰役,身為聯盟勇士，你有義務協助進行抗戰準備，以對付部落和他們的新盟友。,261,0,5793,5793,73395,88077,8,1,0,0,0
2,陣營戰役,為了部落！,262,0,5793,5793,73395,0,10,0,0,0,0
3,Test Campaign,,261,52262,5703,0,0,0,0,0,0,0,0
111,瑞文崔斯主宰,戴納瑟斯王或許知道該如何結束這場靈魄乾旱。進入他的瑞文崔斯界域探尋真相。,5279,0,76298,89063,0,85362,16,0,95,105475,0
113,汎希爾族戰役,尋求瑞文崔斯的救贖是一條漫漫長路，罪殞城的黑暗王子已經準備好踏上旅途了。他需要你的幫助，才能從主宰和他的忠誠者手中把瑞文崔斯奪回來。,5285,0,76299,70102,92582,80502,20,0,94,105475,0
114,昇靈堡,你被派去調查你在淵喉裡面遇到的神秘淵喉琪瑞安。只有負責監督昇靈堡的御靈者才知道他們真正的本性。,5280,0,77903,89061,80035,85362,15,0,98,105475,0
115,戰爭的藝術,野心勃勃的死靈領主面臨自尋毀滅的威脅。你的出現會讓不同勢力再次攜手合作，組成足以挑戰命運本身的大軍。,5287,0,78568,70104,92799,0,19,0,94,105475,0
117,暗夜妖精戰役,亞登曠野的林地正在凋零。隨著巨大的星界之樹一棵棵倒下，凜冬女王也變得愈來愈絕望。女王和她的暗夜之廷需要你來協助恢復森林的昔日和諧。,5302,0,78569,70103,92586,0,22,0,94,105475,0
118,統御者之刃,瑪卓薩斯的軍隊襲擊了昇靈堡。你奉命前往這個飽受戰爭蹂躪的國度，找出原因。,5282,0,88931,89062,0,85362,18,0,97,105475,0
119,琪瑞安族戰役,昇靈堡的高貴琪瑞安族面臨著危險的局勢，棄誓者部隊步步逼近，打算摧毀他們的界域。他們需要你的協助，才能奪回昇靈堡並拯救暗影之境。,5283,0,78609,70101,86729,0,17,0,94,105475,0
124,亞登曠野的林地,你帶著要給凜冬女王的重要消息。前往亞登曠野的空中林地找她。,5301,0,84196,89060,0,85362,21,0,96,105475,0
125,暗影之境戰役,這是通用戰役任務追蹤區塊，適用於介於暗影之境兩場戰役之間的玩家。,5362,0,89137,89138,89140,0,26,0,99,105475,0
126,朦朧的黑暗,在戴納瑟斯的陰謀曝光後，你必須決定如何應對。,5284,0,85641,89059,0,0,26,0,94,105475,0
130,暗影之境,,0,0,5703,5703,0,0,0,1,0,0,0
131,命運絲線,,0,0,87258,89064,0,0,26,0,99,105475,0
133,誓盟導覽,,0,0,5703,5703,0,0,0,0,0,0,0
134,誓盟導覽,,0,0,5703,5703,0,0,0,0,0,0,0
135,誓盟導覽,,0,0,5703,5703,0,0,0,0,0,0,0
136,誓盟導覽,,0,0,5703,5703,0,0,0,0,0,0,0
137,誓盟導覽,,0,0,5703,5703,0,0,0,0,0,0,0
138,統御之鏈,呈現9.1新內容的戰役。,5362,0,92542,92543,92550,0,26,0,93,105475,0
140,迎頭趕上！,,0,0,5703,5703,0,0,0,0,0,0,0
141,迎頭趕上！,,0,0,5703,5703,0,0,0,0,0,0,0
142,迎頭趕上！,,0,0,5703,5703,0,0,0,0,0,0,0
143,迎頭趕上！,,0,0,5703,5703,0,0,0,0,0,0,0
144,迎頭趕上！,,0,0,5703,5703,0,0,0,0,0,0,0
145,迎頭趕上！,,0,0,5703,5703,0,0,0,0,0,0,0
146,迎頭趕上！,,0,0,5703,5703,0,0,0,0,0,0,0
147,迎頭趕上！,,0,0,5703,5703,0,0,0,0,0,0,0
148,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
149,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
150,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
151,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
153,9.0 誓盟戰役第2章 - 托迦司,解鎖找到貝恩與符刻師的前置任務,0,0,5703,5703,0,0,0,0,0,0,0
154,托迦司故事進度跳過,,0,0,5703,5703,0,0,0,0,0,0,0
155,9.0誓盟戰役第3章 - 窺探黑暗,完成安杜因的展示與過場動畫,0,0,5703,5703,0,0,0,0,0,0,0
156,暗影之境,,0,0,5703,5703,0,0,0,1,0,0,0
157,萬應寶盒介紹,,0,0,5703,5703,0,0,0,0,90,0,0
158,首創者的秘密,呈現9.2全新內容的戰役。,5408,0,94855,0,94857,0,31,0,91,105475,0
159,甦醒吧，半龍人,半龍人喚能師新手區域，區域0，聯盟,5467,0,99583,96647,99952,0,46,0,108,0,0
